Planner_Modelo,Validator_Modelo,Intento,Planner_Plan_Valido,Planner_Formato_Valido,Validator_Formato_Arreglado,Validator_Mantiene_Plan,Final_Plan_Valido,Errores,Comentarios
Qwen3:235b,Command-a:111b,1,S,N,S,N,N,"Validador cambió el plan empeorándolo; formato corregido","Planner válido sin formato; validator dio formato pero degradó el plan"
Qwen3:235b,Command-a:111b,2,S,N,N,N,N,"Validador se bloquea / se confunde","Planner válido sin formato; validator no consigue validar"
Qwen3:235b,Qwen3:235b,1,N,N,N,N,N,"Ni plan ni formato","Ambos fallan en generar plan/formato"
Qwen3:235b,Llama4,1,S,N,N,N,N,"Validador se bloquea / se confunde","Planner válido sin formato; llama4 no consigue validar"
Deepseek-R1:70b,Llama4,1,S,N,S,N,N,"Recarga innecesaria introducida por validador","Validator dio formato pero cambió el plan con recarga innecesaria"
Deepseek-R1:70b,Llama4,2,S,N,S,S,S,,"Validator corrigió formato manteniendo el plan"
Deepseek-R1:70b,Llama4,3,S,N,S,N,N,"Validador cambió el plan; planner tenía acciones innecesarias","Validator dio formato pero no mantuvo el plan"
Command-a:111b,Llama4,1,S,S,NA,N,S,"Planner con recarga innecesaria; validador mejoró a plan perfecto","Validator optimiza el plan final"
Command-a:111b,Llama4,2,N,S,NA,N,N,"Validador empeora y falla batería","Planner inicialmente inválido; validator termina con fallos"
Command-a:111b,Llama4,3,N,S,NA,N,N,"Validador empeora y falla batería","Planner duplicó explicación; validator empeora"
Command-a:111b,Llama4,4,N,S,NA,N,N,"Validador empeora y falla batería","Planner con recarga innecesaria; validator empeora"
Command-a:111b,Llama4,5,N,S,NA,N,N,"Validador empeora y falla batería","Patrón repetido: recarga innecesaria + empeora"
Command-a:111b,Llama4,6,N,S,NA,N,N,"Validador empeora y falla batería","Patrón repetido: recarga innecesaria + empeora"
Command-a:111b,Llama4,7,N,S,NA,N,N,"Validador empeora y falla batería","Patrón repetido: recarga innecesaria + empeora"
